user_id,item_id,term,length_of_stay_bucket,rate_plan,room_segment,n_people_bucket,weekend_stay
123,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
124,57,WinterVacation,[4-7],Standard,[160-260],[3-4],FALSE
125,58,WinterVacation,[2-3],Standard,[260-360],[5-inf],FALSE
126,57,WinterVacation,[4-7],Standard,[160-260],[3-4],FALSE
127,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
128,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
129,60,WinterVacation,[2-3],Standard,[260-360],[2-2],TRUE
130,61,WinterVacation,[4-7],Standard,[260-360],[5-inf],TRUE
131,62,WinterVacation,[0-1],Standard,[260-360],[1-1],TRUE
132,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
133,0,WinterVacation,[2-3],Standard,[260-360],[5-inf],TRUE
134,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
135,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
136,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
137,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
138,63,WinterVacation,[2-3],Standard,[0-160],[2-2],TRUE
139,64,WinterVacation,[2-3],Standard,[0-160],[3-4],TRUE
115,65,WinterVacation,[2-3],Standard,[160-260],[1-1],TRUE
115,65,WinterVacation,[2-3],Standard,[160-260],[1-1],TRUE
140,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
141,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
142,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
143,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
144,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
145,66,WinterVacation,[2-3],Standard,[160-260],[5-inf],TRUE
146,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
147,4,WinterVacation,[4-7],Standard,[0-160],[2-2],TRUE
148,0,WinterVacation,[2-3],Standard,[260-360],[5-inf],TRUE
149,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
150,53,WinterVacation,[4-7],Standard,[160-260],[1-1],TRUE
151,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
152,67,WinterVacation,[0-1],Standard,[160-260],[3-4],FALSE
153,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
154,68,WinterVacation,[4-7],Standard,[160-260],[2-2],TRUE
155,54,WinterVacation,[4-7],Standard,[160-260],[5-inf],TRUE
156,69,WinterVacation,[2-3],Standard,[260-360],[3-4],TRUE
157,70,WinterVacation,[0-1],Standard,[260-360],[5-inf],FALSE
158,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
159,71,WinterVacation,[2-3],Standard,[160-260],[3-4],FALSE
160,68,WinterVacation,[4-7],Standard,[160-260],[2-2],TRUE
161,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
162,53,WinterVacation,[4-7],Standard,[160-260],[1-1],TRUE
163,72,WinterVacation,[2-3],Standard,[160-260],[5-inf],FALSE
13,73,WinterVacation,[2-3],Standard,[160-260],[1-1],FALSE
164,2,WinterVacation,[2-3],Standard,[160-260],[2-2],FALSE
165,68,WinterVacation,[4-7],Standard,[160-260],[2-2],TRUE
166,71,WinterVacation,[2-3],Standard,[160-260],[3-4],FALSE
167,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
168,2,WinterVacation,[2-3],Standard,[160-260],[2-2],FALSE
169,68,WinterVacation,[4-7],Standard,[160-260],[2-2],TRUE
170,57,WinterVacation,[4-7],Standard,[160-260],[3-4],FALSE
171,74,WinterVacation,[4-7],Standard,[160-260],[1-1],FALSE
172,57,WinterVacation,[4-7],Standard,[160-260],[3-4],FALSE
173,75,WinterVacation,[0-1],Standard,[160-260],[1-1],FALSE
115,75,WinterVacation,[0-1],Standard,[160-260],[1-1],FALSE
115,75,WinterVacation,[0-1],Standard,[160-260],[1-1],FALSE
115,76,WinterVacation,[0-1],Standard,[260-360],[1-1],FALSE
115,75,WinterVacation,[0-1],Standard,[160-260],[1-1],FALSE
115,75,WinterVacation,[0-1],Standard,[160-260],[1-1],FALSE
174,73,WinterVacation,[2-3],Standard,[160-260],[1-1],FALSE
175,57,WinterVacation,[4-7],Standard,[160-260],[3-4],FALSE
175,77,WinterVacation,[4-7],Standard,[160-260],[2-2],FALSE
176,78,WinterVacation,[4-7],Standard,[160-260],[5-inf],FALSE
177,71,WinterVacation,[2-3],Standard,[160-260],[3-4],FALSE
178,71,WinterVacation,[2-3],Standard,[160-260],[3-4],FALSE
179,51,WinterVacation,[4-7],Standard,[260-360],[3-4],TRUE
179,51,WinterVacation,[4-7],Standard,[260-360],[3-4],TRUE
180,0,WinterVacation,[2-3],Standard,[260-360],[5-inf],TRUE
181,63,WinterVacation,[2-3],Standard,[0-160],[2-2],TRUE
182,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
183,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
184,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
185,79,WinterVacation,[0-1],Standard,[0-160],[5-inf],TRUE
186,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
187,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
187,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
188,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
189,0,WinterVacation,[2-3],Standard,[260-360],[5-inf],TRUE
190,66,WinterVacation,[2-3],Standard,[160-260],[5-inf],TRUE
191,69,WinterVacation,[2-3],Standard,[260-360],[3-4],TRUE
192,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
193,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
194,80,WinterVacation,[4-7],Standard,[0-160],[3-4],TRUE
195,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
196,69,WinterVacation,[2-3],Standard,[260-360],[3-4],TRUE
197,0,WinterVacation,[2-3],Standard,[260-360],[5-inf],TRUE
198,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
199,68,WinterVacation,[4-7],Standard,[160-260],[2-2],TRUE
200,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
201,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
202,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
203,66,WinterVacation,[2-3],Standard,[160-260],[5-inf],TRUE
204,66,WinterVacation,[2-3],Standard,[160-260],[5-inf],TRUE
205,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
206,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
207,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
208,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
209,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
210,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
211,66,WinterVacation,[2-3],Standard,[160-260],[5-inf],TRUE
212,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
213,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
214,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
215,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
216,68,WinterVacation,[4-7],Standard,[160-260],[2-2],TRUE
217,66,WinterVacation,[2-3],Standard,[160-260],[5-inf],TRUE
218,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
219,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
220,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
220,0,WinterVacation,[2-3],Standard,[260-360],[5-inf],TRUE
221,0,WinterVacation,[2-3],Standard,[260-360],[5-inf],TRUE
222,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
223,68,WinterVacation,[4-7],Standard,[160-260],[2-2],TRUE
224,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
225,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
225,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
226,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
227,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
228,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
229,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
115,76,WinterVacation,[0-1],Standard,[260-360],[1-1],FALSE
115,81,WinterVacation,[2-3],Standard,[260-360],[1-1],TRUE
230,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
231,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
232,82,WinterVacation,[0-1],Standard,[160-260],[2-2],FALSE
233,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
234,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
235,65,WinterVacation,[2-3],Standard,[160-260],[1-1],TRUE
236,4,WinterVacation,[4-7],Standard,[0-160],[2-2],TRUE
237,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
238,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
239,0,WinterVacation,[2-3],Standard,[260-360],[5-inf],TRUE
240,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
241,83,WinterVacation,[4-7],Standard,[260-360],[2-2],TRUE
241,68,WinterVacation,[4-7],Standard,[160-260],[2-2],TRUE
242,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
243,82,WinterVacation,[0-1],Standard,[160-260],[2-2],FALSE
115,75,WinterVacation,[0-1],Standard,[160-260],[1-1],FALSE
244,71,WinterVacation,[2-3],Standard,[160-260],[3-4],FALSE
245,2,WinterVacation,[2-3],Standard,[160-260],[2-2],FALSE
246,67,WinterVacation,[0-1],Standard,[160-260],[3-4],FALSE
247,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
248,51,WinterVacation,[4-7],Standard,[260-360],[3-4],TRUE
249,58,WinterVacation,[2-3],Standard,[260-360],[5-inf],FALSE
250,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
251,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
252,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
253,71,WinterVacation,[2-3],Standard,[160-260],[3-4],FALSE
254,68,WinterVacation,[4-7],Standard,[160-260],[2-2],TRUE
255,2,WinterVacation,[2-3],Standard,[160-260],[2-2],FALSE
256,57,WinterVacation,[4-7],Standard,[160-260],[3-4],FALSE
257,71,WinterVacation,[2-3],Standard,[160-260],[3-4],FALSE
258,57,WinterVacation,[4-7],Standard,[160-260],[3-4],FALSE
259,2,WinterVacation,[2-3],Standard,[160-260],[2-2],FALSE
260,2,WinterVacation,[2-3],Standard,[160-260],[2-2],FALSE
261,74,WinterVacation,[4-7],Standard,[160-260],[1-1],FALSE
262,74,WinterVacation,[4-7],Standard,[160-260],[1-1],FALSE
263,71,WinterVacation,[2-3],Standard,[160-260],[3-4],FALSE
264,73,WinterVacation,[2-3],Standard,[160-260],[1-1],FALSE
265,77,WinterVacation,[4-7],Standard,[160-260],[2-2],FALSE
266,72,WinterVacation,[2-3],Standard,[160-260],[5-inf],FALSE
267,84,WinterVacation,[4-7],Standard,[0-160],[1-1],FALSE
268,53,WinterVacation,[4-7],Standard,[160-260],[1-1],TRUE
269,73,WinterVacation,[2-3],Standard,[160-260],[1-1],FALSE
270,2,WinterVacation,[2-3],Standard,[160-260],[2-2],FALSE
271,2,WinterVacation,[2-3],Standard,[160-260],[2-2],FALSE
272,85,WinterVacation,[4-7],Standard,[260-360],[3-4],FALSE
272,57,WinterVacation,[4-7],Standard,[160-260],[3-4],FALSE
273,2,WinterVacation,[2-3],Standard,[160-260],[2-2],FALSE
274,51,WinterVacation,[4-7],Standard,[260-360],[3-4],TRUE
275,71,WinterVacation,[2-3],Standard,[160-260],[3-4],FALSE
276,57,WinterVacation,[4-7],Standard,[160-260],[3-4],FALSE
277,77,WinterVacation,[4-7],Standard,[160-260],[2-2],FALSE
278,57,WinterVacation,[4-7],Standard,[160-260],[3-4],FALSE
279,56,WinterVacation,[2-3],Standard,[0-160],[2-2],FALSE
280,57,WinterVacation,[4-7],Standard,[160-260],[3-4],FALSE
13,73,WinterVacation,[2-3],Standard,[160-260],[1-1],FALSE
281,57,WinterVacation,[4-7],Standard,[160-260],[3-4],FALSE
282,82,WinterVacation,[0-1],Standard,[160-260],[2-2],FALSE
283,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
284,78,WinterVacation,[4-7],Standard,[160-260],[5-inf],FALSE
285,61,WinterVacation,[4-7],Standard,[260-360],[5-inf],TRUE
286,86,WinterVacation,[0-1],Standard,[160-260],[5-inf],TRUE
287,68,WinterVacation,[4-7],Standard,[160-260],[2-2],TRUE
288,69,WinterVacation,[2-3],Standard,[260-360],[3-4],TRUE
289,68,WinterVacation,[4-7],Standard,[160-260],[2-2],TRUE
290,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
291,87,WinterVacation,[8-inf],Standard,[160-260],[5-inf],TRUE
292,0,WinterVacation,[2-3],Standard,[260-360],[5-inf],TRUE
293,69,WinterVacation,[2-3],Standard,[260-360],[3-4],TRUE
294,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
295,0,WinterVacation,[2-3],Standard,[260-360],[5-inf],TRUE
296,0,WinterVacation,[2-3],Standard,[260-360],[5-inf],TRUE
297,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
298,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
299,66,WinterVacation,[2-3],Standard,[160-260],[5-inf],TRUE
300,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
301,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
302,88,WinterVacation,[0-1],Standard,[160-260],[3-4],TRUE
303,0,WinterVacation,[2-3],Standard,[260-360],[5-inf],TRUE
304,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
305,63,WinterVacation,[2-3],Standard,[0-160],[2-2],TRUE
306,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
307,86,WinterVacation,[0-1],Standard,[160-260],[5-inf],TRUE
308,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
309,89,WinterVacation,[0-1],Standard,[160-260],[2-2],TRUE
310,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
311,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
312,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
313,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
314,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
314,63,WinterVacation,[2-3],Standard,[0-160],[2-2],TRUE
315,60,WinterVacation,[2-3],Standard,[260-360],[2-2],TRUE
316,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
317,69,WinterVacation,[2-3],Standard,[260-360],[3-4],TRUE
318,66,WinterVacation,[2-3],Standard,[160-260],[5-inf],TRUE
319,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
320,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
321,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
322,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
323,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
323,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
324,60,WinterVacation,[2-3],Standard,[260-360],[2-2],TRUE
325,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
326,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
327,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
328,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
329,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
330,62,WinterVacation,[0-1],Standard,[260-360],[1-1],TRUE
330,90,WinterVacation,[0-1],Standard,[160-260],[1-1],TRUE
330,90,WinterVacation,[0-1],Standard,[160-260],[1-1],TRUE
331,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
332,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
333,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
334,63,WinterVacation,[2-3],Standard,[0-160],[2-2],TRUE
335,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
336,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
337,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
338,0,WinterVacation,[2-3],Standard,[260-360],[5-inf],TRUE
339,53,WinterVacation,[4-7],Standard,[160-260],[1-1],TRUE
340,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
341,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
115,65,WinterVacation,[2-3],Standard,[160-260],[1-1],TRUE
115,65,WinterVacation,[2-3],Standard,[160-260],[1-1],TRUE
342,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
343,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
344,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
345,59,WinterVacation,[2-3],Standard,[160-260],[2-2],TRUE
346,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
347,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
348,71,WinterVacation,[2-3],Standard,[160-260],[3-4],FALSE
349,68,WinterVacation,[4-7],Standard,[160-260],[2-2],TRUE
350,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
115,75,WinterVacation,[0-1],Standard,[160-260],[1-1],FALSE
351,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
352,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
353,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
354,71,WinterVacation,[2-3],Standard,[160-260],[3-4],FALSE
13,75,WinterVacation,[0-1],Standard,[160-260],[1-1],FALSE
355,67,WinterVacation,[0-1],Standard,[160-260],[3-4],FALSE
356,2,WinterVacation,[2-3],Standard,[160-260],[2-2],FALSE
357,4,WinterVacation,[4-7],Standard,[0-160],[2-2],TRUE
358,76,WinterVacation,[0-1],Standard,[260-360],[1-1],FALSE
261,68,WinterVacation,[4-7],Standard,[160-260],[2-2],TRUE
359,91,WinterVacation,[4-7],Standard,[0-160],[2-2],FALSE
